,director_name,actor_2_name,genres,actor_1_name,movie_title,actor_3_name,combined
422,Bob Fosse,Ben Vereen,Comedy Drama Music Musical,Roy Scheider,All That Jazz,Max Wright,Bob Fosse Ben Vereen Comedy Drama Music Musical Roy Scheider Max Wright
423,Tarsem Singh,Nathan Lane,Adventure Comedy Drama Family Fantasy,Julia Roberts,Mirror Mirror,Danny Woodburn,Tarsem Singh Nathan Lane Adventure Comedy Drama Family Fantasy Julia Roberts Danny Woodburn
424,Edgar Wright,Kieran Culkin,Action Comedy Fantasy Romance,Anna Kendrick,Scott Pilgrim vs. the World,Ellen Wong,Edgar Wright Kieran Culkin Action Comedy Fantasy Romance Anna Kendrick Ellen Wong
425,Jon Amiel,Tchéky Karyo,Action Adventure Sci-Fi Thriller,Glenn Morshower,The Core,Rekha Sharma,Jon Amiel Tchéky Karyo Action Adventure Sci-Fi Thriller Glenn Morshower Rekha Sharma
426,Peter Segal,Janet Jackson,Comedy Romance Sci-Fi,Larry Miller,Nutty Professor II: The Klumps,Chris Elliott,Peter Segal Janet Jackson Comedy Romance Sci-Fi Larry Miller Chris Elliott
427,Raja Gosnell,Linda Cardellini,Adventure Comedy Mystery,Sarah Michelle Gellar,Scooby-Doo,Miguel A. Núñez Jr.,Raja Gosnell Linda Cardellini Adventure Comedy Mystery Sarah Michelle Gellar Miguel A. Núñez Jr.
428,Pete Travis,Jason Cope,Action Sci-Fi,Wood Harris,Dredd,Rakie Ayola,Pete Travis Jason Cope Action Sci-Fi Wood Harris Rakie Ayola
429,Frank Coraci,Cameron Monaghan,Comedy Drama Fantasy Romance,Adam Sandler,Click,Julie Kavner,Frank Coraci Cameron Monaghan Comedy Drama Fantasy Romance Adam Sandler Julie Kavner
430,George A. Romero,Hal Holbrook,Comedy Fantasy Horror,Ted Danson,Creepshow,Adrienne Barbeau,George A. Romero Hal Holbrook Comedy Fantasy Horror Ted Danson Adrienne Barbeau
431,Brad Peyton,Sean Hayes,Action Comedy Family Fantasy,Jack McBrayer,Cats & Dogs: The Revenge of Kitty Galore,Katt Williams,Brad Peyton Sean Hayes Action Comedy Family Fantasy Jack McBrayer Katt Williams
432,Doug Liman,Hayden Christensen,Action Adventure Sci-Fi Thriller,Kristen Stewart,Jumper,Tom Hulce,Doug Liman Hayden Christensen Action Adventure Sci-Fi Thriller Kristen Stewart Tom Hulce
433,Guillermo del Toro,Iván Kamarás,Action Adventure Fantasy Horror Sci-Fi,Seth MacFarlane,Hellboy II: The Golden Army,Brian Steele,Guillermo del Toro Iván Kamarás Action Adventure Fantasy Horror Sci-Fi Seth MacFarlane Brian Steele
434,David Fincher,Jake Gyllenhaal,Crime Drama History Mystery Thriller,Robert Downey Jr.,Zodiac,Anthony Edwards,David Fincher Jake Gyllenhaal Crime Drama History Mystery Thriller Robert Downey Jr. Anthony Edwards
435,Roger Spottiswoode,Michael Rapaport,Action Mystery Sci-Fi Thriller,Robert Duvall,The 6th Day,Tony Goldwyn,Roger Spottiswoode Michael Rapaport Action Mystery Sci-Fi Thriller Robert Duvall Tony Goldwyn
436,Tom Shadyac,Steve Carell,Comedy Drama,Morgan Freeman,Bruce Almighty,Lisa Ann Walter,Tom Shadyac Steve Carell Comedy Drama Morgan Freeman Lisa Ann Walter
437,Sylvester Stallone,Sylvester Stallone,Action Adventure Thriller,Jason Statham,The Expendables,Jet Li,Sylvester Stallone Sylvester Stallone Action Adventure Thriller Jason Statham Jet Li
438,Brian De Palma,Kristin Scott Thomas,Action Adventure Thriller,Tom Cruise,Mission: Impossible,Vanessa Redgrave,Brian De Palma Kristin Scott Thomas Action Adventure Thriller Tom Cruise Vanessa Redgrave
439,Gary Ross,Josh Hutcherson,Adventure Drama Sci-Fi Thriller,Jennifer Lawrence,The Hunger Games,Anthony Reynolds,Gary Ross Josh Hutcherson Adventure Drama Sci-Fi Thriller Jennifer Lawrence Anthony Reynolds
440,Todd Phillips,Mason Lee,Comedy,Bradley Cooper,The Hangover Part II,Mike Tyson,Todd Phillips Mason Lee Comedy Bradley Cooper Mike Tyson
441,Tim Burton,Vincent Schiavelli,Action,Michael Gough,Batman Returns,Andrew Bryniarski,Tim Burton Vincent Schiavelli Action Michael Gough Andrew Bryniarski
442,Tim Johnson,Steve Carell,Adventure Animation Comedy Family,Bruce Willis,Over the Hedge,Catherine O'Hara,Tim Johnson Steve Carell Adventure Animation Comedy Family Bruce Willis Catherine O'Hara
443,Dean DeBlois,Jason Scott Lee,Adventure Animation Comedy Drama Family Fantasy Sci-Fi,Tia Carrere,Lilo & Stitch,David Ogden Stiers,Dean DeBlois Jason Scott Lee Adventure Animation Comedy Drama Family Fantasy Sci-Fi Tia Carrere David Ogden Stiers
444,Gary Winick,Julia Roberts,Comedy Family Fantasy,Steve Buscemi,Charlotte's Web,Oprah Winfrey,Gary Winick Julia Roberts Comedy Family Fantasy Steve Buscemi Oprah Winfrey
445,Mimi Leder,Jon Favreau,Action Drama Romance Sci-Fi Thriller,Morgan Freeman,Deep Impact,Robert Duvall,Mimi Leder Jon Favreau Action Drama Romance Sci-Fi Thriller Morgan Freeman Robert Duvall
446,Dean Parisot,Anthony Hopkins,Action Comedy Crime Thriller,Bruce Willis,RED 2,Garrick Hagon,Dean Parisot Anthony Hopkins Action Comedy Crime Thriller Bruce Willis Garrick Hagon
447,Peter Segal,Steve Reevis,Comedy Crime Sport,Adam Sandler,The Longest Yard,Dalip Singh,Peter Segal Steve Reevis Comedy Crime Sport Adam Sandler Dalip Singh
448,Mike Mitchell,Jesse McCartney,Adventure Animation Comedy Family Fantasy Music,Amy Poehler,Alvin and the Chipmunks: Chipwrecked,Lauren Gottlieb,Mike Mitchell Jesse McCartney Adventure Animation Comedy Family Fantasy Music Amy Poehler Lauren Gottlieb
449,Dennis Dugan,Adam Sandler,Comedy,Steve Buscemi,Grown Ups 2,Jon Lovitz,Dennis Dugan Adam Sandler Comedy Steve Buscemi Jon Lovitz
450,Peter Segal,Dwayne Johnson,Action Adventure Comedy,Bill Murray,Get Smart,Anne Hathaway,Peter Segal Dwayne Johnson Action Adventure Comedy Bill Murray Anne Hathaway
451,Nancy Meyers,Jon Favreau,Comedy Drama Romance,Keanu Reeves,Something's Gotta Give,Paul Michael Glaser,Nancy Meyers Jon Favreau Comedy Drama Romance Keanu Reeves Paul Michael Glaser
452,Martin Scorsese,Joseph Sikora,Mystery Thriller,Leonardo DiCaprio,Shutter Island,Nellie Sciutto,Martin Scorsese Joseph Sikora Mystery Thriller Leonardo DiCaprio Nellie Sciutto
453,Seth Gordon,Robert Duvall,Comedy Drama Romance,Jon Favreau,Four Christmases,Katy Mixon,Seth Gordon Robert Duvall Comedy Drama Romance Jon Favreau Katy Mixon
454,Chris Wedge,Drew Carey,Adventure Animation Comedy Family Sci-Fi,Jim Broadbent,Robots,Paula Abdul,Chris Wedge Drew Carey Adventure Animation Comedy Family Sci-Fi Jim Broadbent Paula Abdul
455,John Woo,CCH Pounder,Action Crime Sci-Fi Thriller,Nicolas Cage,Face/Off,Joan Allen,John Woo CCH Pounder Action Crime Sci-Fi Thriller Nicolas Cage Joan Allen
456,Adam Shankman,Carmen Electra,Comedy Family Fantasy Romance,Adam Sandler,Bedtime Stories,Kathryn Joosten,Adam Shankman Carmen Electra Comedy Family Fantasy Romance Adam Sandler Kathryn Joosten
457,Sam Mendes,Jennifer Jason Leigh,Crime Drama Thriller,Tom Hanks,Road to Perdition,Liam Aiken,Sam Mendes Jennifer Jason Leigh Crime Drama Thriller Tom Hanks Liam Aiken
458,Dennis Dugan,Bailee Madison,Comedy Romance,Adam Sandler,Just Go with It,Kevin Nealon,Dennis Dugan Bailee Madison Comedy Romance Adam Sandler Kevin Nealon
460,Simon West,Monica Potter,Action Crime Thriller,Steve Buscemi,Con Air,Dave Chappelle,Simon West Monica Potter Action Crime Thriller Steve Buscemi Dave Chappelle
461,D.J. Caruso,Ethan Embry,Action Mystery Thriller,Rosario Dawson,Eagle Eye,Cameron Boyce,D.J. Caruso Ethan Embry Action Mystery Thriller Rosario Dawson Cameron Boyce
462,Anthony Minghella,Natalie Portman,Adventure Drama History Romance War,Philip Seymour Hoffman,Cold Mountain,Charlie Hunnam,Anthony Minghella Natalie Portman Adventure Drama History Romance War Philip Seymour Hoffman Charlie Hunnam
463,Albert Hughes,Mila Kunis,Action Adventure Drama Thriller,Denzel Washington,The Book of Eli,Gary Oldman,Albert Hughes Mila Kunis Action Adventure Drama Thriller Denzel Washington Gary Oldman
464,Les Mayfield,Jodi Benson,Comedy Family Sci-Fi,Robin Williams,Flubber,Sam Lloyd,Les Mayfield Jodi Benson Comedy Family Sci-Fi Robin Williams Sam Lloyd
465,Jan de Bont,Lili Taylor,Fantasy Horror Mystery Thriller,Liam Neeson,The Haunting,Virginia Madsen,Jan de Bont Lili Taylor Fantasy Horror Mystery Thriller Liam Neeson Virginia Madsen
466,Joe Pytka,Wayne Knight,Adventure Animation Comedy Family Fantasy Sci-Fi Sport,Bill Murray,Space Jam,Michael Jordan,Joe Pytka Wayne Knight Adventure Animation Comedy Family Fantasy Sci-Fi Sport Bill Murray Michael Jordan
467,Shawn Levy,Henry Czerny,Adventure Comedy Crime Family Mystery,Roger Rees,The Pink Panther,William Abadie,Shawn Levy Henry Czerny Adventure Comedy Crime Family Mystery Roger Rees William Abadie
468,Scott Derrickson,Jon Hamm,Drama Sci-Fi Thriller,Keanu Reeves,The Day the Earth Stood Still,Juan Riedinger,Scott Derrickson Jon Hamm Drama Sci-Fi Thriller Keanu Reeves Juan Riedinger
469,Richard Donner,Alex McArthur,Action Crime Mystery Romance Thriller,Julia Roberts,Conspiracy Theory,Michael Potts,Richard Donner Alex McArthur Action Crime Mystery Romance Thriller Julia Roberts Michael Potts
470,David Ayer,Logan Lerman,Action Drama War,Brad Pitt,Fury,Jim Parrack,David Ayer Logan Lerman Action Drama War Brad Pitt Jim Parrack
471,Ivan Reitman,Anne Heche,Action Adventure Comedy Romance,Harrison Ford,Six Days Seven Nights,Amy Sedaris,Ivan Reitman Anne Heche Action Adventure Comedy Romance Harrison Ford Amy Sedaris
472,Eric Brevig,Tom Cavanagh,Adventure Animation Comedy Family,Justin Timberlake,Yogi Bear,Josh Robert Thompson,Eric Brevig Tom Cavanagh Adventure Animation Comedy Family Justin Timberlake Josh Robert Thompson
473,Kelly Asbury,Charles Napier,Adventure Animation Family Western,Matt Damon,Spirit: Stallion of the Cimarron,Zahn McClarnon,Kelly Asbury Charles Napier Adventure Animation Family Western Matt Damon Zahn McClarnon
474,Frank Coraci,Leslie Bibb,Comedy Family Romance,Rosario Dawson,Zookeeper,Nicholas Turturro,Frank Coraci Leslie Bibb Comedy Family Romance Rosario Dawson Nicholas Turturro
475,Stephen Hopkins,William Hurt,Action Adventure Family Sci-Fi Thriller,Gary Oldman,Lost in Space,June Lockhart,Stephen Hopkins William Hurt Action Adventure Family Sci-Fi Thriller Gary Oldman June Lockhart
476,Jonathan Demme,Dorian Missick,Drama Mystery Sci-Fi Thriller,Denzel Washington,The Manchurian Candidate,Jose Pablo Cantillo,Jonathan Demme Dorian Missick Drama Mystery Sci-Fi Thriller Denzel Washington Jose Pablo Cantillo
477,Henry Jaglom,Stephen Dillane,Drama Romance,Vanessa Redgrave,Déjà Vu,Michael Brandon,Henry Jaglom Stephen Dillane Drama Romance Vanessa Redgrave Michael Brandon
478,Genndy Tartakovsky,Adam Sandler,Animation Comedy Family Fantasy,Steve Buscemi,Hotel Transylvania 2,Fran Drescher,Genndy Tartakovsky Adam Sandler Animation Comedy Family Fantasy Steve Buscemi Fran Drescher
480,James Algar,Penn Jillette,Animation Family Fantasy Music,Quincy Jones,Fantasia 2000,Russi Taylor,James Algar Penn Jillette Animation Family Fantasy Music Quincy Jones Russi Taylor
481,Simon Wells,Alan Young,Action Adventure Sci-Fi,Mark Addy,The Time Machine,Josh Stamberg,Simon Wells Alan Young Action Adventure Sci-Fi Mark Addy Josh Stamberg
482,Ron Underwood,Mika Boorem,Action Adventure Family Fantasy Thriller,Charlize Theron,Mighty Joe Young,David Paymer,Ron Underwood Mika Boorem Action Adventure Family Fantasy Thriller Charlize Theron David Paymer
483,Dominic Sena,Don Cheadle,Action Crime Thriller,Hugh Jackman,Swordfish,Sam Shepard,Dominic Sena Don Cheadle Action Crime Thriller Hugh Jackman Sam Shepard
484,Martin Campbell,Nick Chinlund,Action Adventure Western,Michael Emerson,The Legend of Zorro,Adrian Alonso,Martin Campbell Nick Chinlund Action Adventure Western Michael Emerson Adrian Alonso
485,Vincent Ward,Annabella Sciorra,Drama Fantasy Romance,Robin Williams,What Dreams May Come,Rosalind Chao,Vincent Ward Annabella Sciorra Drama Fantasy Romance Robin Williams Rosalind Chao
486,Steven Brill,Jon Lovitz,Comedy Fantasy,Adam Sandler,Little Nicky,Michael McKean,Steven Brill Jon Lovitz Comedy Fantasy Adam Sandler Michael McKean
487,Terry Gilliam,Heath Ledger,Action Adventure Comedy Fantasy Thriller,Matt Damon,The Brothers Grimm,Mackenzie Crook,Terry Gilliam Heath Ledger Action Adventure Comedy Fantasy Thriller Matt Damon Mackenzie Crook
488,Tim Burton,Martin Short,Action Comedy Sci-Fi,Natalie Portman,Mars Attacks!,Lukas Haas,Tim Burton Martin Short Action Comedy Sci-Fi Natalie Portman Lukas Haas
489,Lucile Hadzihalilovic,Roxane Duran,Drama Horror Mystery Sci-Fi,Nissim Renard,Evolution,Julie-Marie Parmentier,Lucile Hadzihalilovic Roxane Duran Drama Horror Mystery Sci-Fi Nissim Renard Julie-Marie Parmentier
490,Lee Tamahori,Harold Perrineau,Action Adventure Drama Thriller,Anthony Hopkins,The Edge,Bart the Bear,Lee Tamahori Harold Perrineau Action Adventure Drama Thriller Anthony Hopkins Bart the Bear
491,Jonathan Mostow,Devin Ratray,Action Sci-Fi Thriller,Bruce Willis,Surrogates,Boris Kodjoe,Jonathan Mostow Devin Ratray Action Sci-Fi Thriller Bruce Willis Boris Kodjoe
492,Roger Donaldson,Jon Foster,Drama History Thriller,Bruce Greenwood,Thirteen Days,Bruce Thomas,Roger Donaldson Jon Foster Drama History Thriller Bruce Greenwood Bruce Thomas
493,Rob Cohen,Viggo Mortensen,Action Adventure Drama Thriller,Sylvester Stallone,Daylight,Amy Brenneman,Rob Cohen Viggo Mortensen Action Adventure Drama Thriller Sylvester Stallone Amy Brenneman
494,Barry Cook,Tiya Sircar,Adventure Animation Family,Charlie Rowe,Walking with Dinosaurs 3D,Madison Rothschild,Barry Cook Tiya Sircar Adventure Animation Family Charlie Rowe Madison Rothschild
495,Roger Christian,Michael Byrne,Action Adventure Sci-Fi,Richard Tyson,Battlefield Earth,John Topor,Roger Christian Michael Byrne Action Adventure Sci-Fi Richard Tyson John Topor
496,Joe Dante,Jenna Elfman,Adventure Animation Comedy Family Fantasy Sci-Fi,Brendan Fraser,Looney Tunes: Back in Action,Heather Locklear,Joe Dante Jenna Elfman Adventure Animation Comedy Family Fantasy Sci-Fi Brendan Fraser Heather Locklear
497,Rob Marshall,Elio Germano,Drama Musical Romance,Fergie,Nine,Andrea Di Stefano,Rob Marshall Elio Germano Drama Musical Romance Fergie Andrea Di Stefano
498,Richard Donner,Gerard Butler,Action Adventure Sci-Fi,Paul Walker,Timeline,Ethan Embry,Richard Donner Gerard Butler Action Adventure Sci-Fi Paul Walker Ethan Embry
499,Kevin Costner,Brian Anthony Wilson,Action Adventure Drama Sci-Fi,Olivia Williams,The Postman,Larenz Tate,Kevin Costner Brian Anthony Wilson Action Adventure Drama Sci-Fi Olivia Williams Larenz Tate
500,George Miller,Elizabeth Daily,Adventure Comedy Drama Family Fantasy,Adam Goldberg,Babe: Pig in the City,Glenne Headly,George Miller Elizabeth Daily Adventure Comedy Drama Family Fantasy Adam Goldberg Glenne Headly
501,Breck Eisner,Joseph Gilgun,Action Adventure Fantasy,Vin Diesel,The Last Witch Hunter,Lotte Verbeek,Breck Eisner Joseph Gilgun Action Adventure Fantasy Vin Diesel Lotte Verbeek
502,Antony Hoffman,Val Kilmer,Action Sci-Fi Thriller,Bob Neill,Red Planet,Tom Sizemore,Antony Hoffman Val Kilmer Action Sci-Fi Thriller Bob Neill Tom Sizemore
503,Luc Besson,Adam LeFevre,Adventure Animation Family Fantasy,Mia Farrow,Arthur and the Invisibles,Penny Balfour,Luc Besson Adam LeFevre Adventure Animation Family Fantasy Mia Farrow Penny Balfour
504,Jacques Perrin,Jacques Perrin,Documentary Drama,Pedro Armendáriz Jr.,Oceans,Rie Miyazawa,Jacques Perrin Jacques Perrin Documentary Drama Pedro Armendáriz Jr. Rie Miyazawa
505,Peter Hyams,Catherine McCormack,Action Adventure Horror Sci-Fi Thriller,David Oyelowo,A Sound of Thunder,Jemima Rooper,Peter Hyams Catherine McCormack Action Adventure Horror Sci-Fi Thriller David Oyelowo Jemima Rooper
506,Paul W.S. Anderson,Currie Graham,Action Adventure Drama History Romance,Sasha Roiz,Pompeii,Dylan Schombing,Paul W.S. Anderson Currie Graham Action Adventure Drama History Romance Sasha Roiz Dylan Schombing
507,Andrés Couturier,David Hoffman,Animation Family,Sariann Monaco,Top Cat Begins,Ben Diskin,Andrés Couturier David Hoffman Animation Family Sariann Monaco Ben Diskin
508,Ron Howard,Austin Pendleton,Biography Drama,Adam Goldberg,A Beautiful Mind,Judd Hirsch,Ron Howard Austin Pendleton Biography Drama Adam Goldberg Judd Hirsch
509,Roger Allers,Nathan Lane,Adventure Animation Drama Family Musical,Matthew Broderick,The Lion King,Niketa Calame,Roger Allers Nathan Lane Adventure Animation Drama Family Musical Matthew Broderick Niketa Calame
510,Brad Peyton,Dwayne Johnson,Action Adventure Comedy Family Fantasy Sci-Fi,Josh Hutcherson,Journey 2: The Mysterious Island,Kristin Davis,Brad Peyton Dwayne Johnson Action Adventure Comedy Family Fantasy Sci-Fi Josh Hutcherson Kristin Davis
511,Cody Cameron,Khamani Griffin,Animation Comedy Family Fantasy Sci-Fi,Will Forte,Cloudy with a Chance of Meatballs 2,Melissa Sturm,Cody Cameron Khamani Griffin Animation Comedy Family Fantasy Sci-Fi Will Forte Melissa Sturm
512,Brett Ratner,Anthony Hopkins,Crime Drama Thriller,Philip Seymour Hoffman,Red Dragon,Emily Watson,Brett Ratner Anthony Hopkins Crime Drama Thriller Philip Seymour Hoffman Emily Watson
513,Joe Johnston,Viggo Mortensen,Action Adventure Western,J.K. Simmons,Hidalgo,Peter Mensah,Joe Johnston Viggo Mortensen Action Adventure Western J.K. Simmons Peter Mensah
514,Dennis Dugan,Adam Sandler,Comedy,Al Pacino,Jack and Jill,Tim Meadows,Dennis Dugan Adam Sandler Comedy Al Pacino Tim Meadows
515,John Singleton,Cole Hauser,Action Crime Thriller,Paul Walker,2 Fast 2 Furious,Mo Gallini,John Singleton Cole Hauser Action Crime Thriller Paul Walker Mo Gallini
516,Mark Osborne,James Franco,Adventure Animation Drama Family Fantasy,Jeff Bridges,The Little Prince,Mackenzie Foy,Mark Osborne James Franco Adventure Animation Drama Family Fantasy Jeff Bridges Mackenzie Foy
517,Oliver Hirschbiegel,Veronica Cartwright,Sci-Fi Thriller,Roger Rees,The Invasion,Jeremy Northam,Oliver Hirschbiegel Veronica Cartwright Sci-Fi Thriller Roger Rees Jeremy Northam
518,Des McAnuff,Janeane Garofalo,Adventure Animation Comedy Family Fantasy,Robert De Niro,The Adventures of Rocky & Bullwinkle,Jonathan Winters,Des McAnuff Janeane Garofalo Adventure Animation Comedy Family Fantasy Robert De Niro Jonathan Winters
519,Yarrow Cheney,Eric Stonestreet,Animation Comedy Family,Steve Coogan,The Secret Life of Pets,Albert Brooks,Yarrow Cheney Eric Stonestreet Animation Comedy Family Steve Coogan Albert Brooks
520,Stephen Norrington,Max Ryan,Action Adventure Fantasy Sci-Fi,Jason Flemyng,The League of Extraordinary Gentlemen,Tony Curran,Stephen Norrington Max Ryan Action Adventure Fantasy Sci-Fi Jason Flemyng Tony Curran
521,Pierre Coffin,Miranda Cosgrove,Animation Comedy Family Sci-Fi,Steve Carell,Despicable Me 2,Steve Coogan,Pierre Coffin Miranda Cosgrove Animation Comedy Family Sci-Fi Steve Carell Steve Coogan
522,Roland Emmerich,Adam Baldwin,Action Adventure Sci-Fi,Will Smith,Independence Day,Mary McDonnell,Roland Emmerich Adam Baldwin Action Adventure Sci-Fi Will Smith Mary McDonnell
523,Steven Spielberg,Richard Schiff,Action Adventure Sci-Fi,Ariana Richards,The Lost World: Jurassic Park,Vanessa Lee Chester,Steven Spielberg Richard Schiff Action Adventure Sci-Fi Ariana Richards Vanessa Lee Chester
524,Eric Darnell,Cedric the Entertainer,Adventure Animation Comedy Family,Jada Pinkett Smith,Madagascar,Andy Richter,Eric Darnell Cedric the Entertainer Adventure Animation Comedy Family Jada Pinkett Smith Andy Richter
525,Alfonso Cuarón,Danny Huston,Drama Sci-Fi Thriller,Charlie Hunnam,Children of Men,Rita Davies,Alfonso Cuarón Danny Huston Drama Sci-Fi Thriller Charlie Hunnam Rita Davies
526,Bryan Singer,Tyler Mane,Action Adventure Sci-Fi,Hugh Jackman,X-Men,Bruce Davison,Bryan Singer Tyler Mane Action Adventure Sci-Fi Hugh Jackman Bruce Davison
527,Timur Bekmambetov,Morgan Freeman,Action Crime Fantasy Thriller,Angelina Jolie Pitt,Wanted,Common,Timur Bekmambetov Morgan Freeman Action Crime Fantasy Thriller Angelina Jolie Pitt Common
528,Michael Bay,Michael Biehn,Action Adventure Thriller,Nicolas Cage,The Rock,Bokeem Woodbine,Michael Bay Michael Biehn Action Adventure Thriller Nicolas Cage Bokeem Woodbine
529,Carlos Saldanha,Ray Romano,Action Adventure Animation Comedy Family Fantasy,Denis Leary,Ice Age: The Meltdown,Jay Leno,Carlos Saldanha Ray Romano Action Adventure Animation Comedy Family Fantasy Denis Leary Jay Leno
530,Peter Segal,Peter Dante,Comedy Romance,Adam Sandler,50 First Dates,Allen Covert,Peter Segal Peter Dante Comedy Romance Adam Sandler Allen Covert
531,Adam Shankman,Elijah Kelley,Comedy Drama Family Music Musical Romance,Jerry Stiller,Hairspray,Paul Dooley,Adam Shankman Elijah Kelley Comedy Drama Family Music Musical Romance Jerry Stiller Paul Dooley
532,Renny Harlin,Alan Ford,Horror Mystery Thriller,James D'Arcy,Exorcist: The Beginning,Izabella Scorupco,Renny Harlin Alan Ford Horror Mystery Thriller James D'Arcy Izabella Scorupco
533,David Kellogg,Rene Auberjonois,Action Adventure Comedy Family Sci-Fi,Matthew Broderick,Inspector Gadget,Rupert Everett,David Kellogg Rene Auberjonois Action Adventure Comedy Family Sci-Fi Matthew Broderick Rupert Everett
534,Louis Leterrier,Common,Crime Mystery Thriller,Morgan Freeman,Now You See Me,Michael Kelly,Louis Leterrier Common Crime Mystery Thriller Morgan Freeman Michael Kelly
535,Dennis Dugan,Adam Sandler,Comedy,Steve Buscemi,Grown Ups,Salma Hayek,Dennis Dugan Adam Sandler Comedy Steve Buscemi Salma Hayek
536,Steven Spielberg,Chi McBride,Comedy Drama,Tom Hanks,The Terminal,Barry Shabaka Henley,Steven Spielberg Chi McBride Comedy Drama Tom Hanks Barry Shabaka Henley
538,Thor Freudenthal,Kevin Dillon,Comedy Family,Don Cheadle,Hotel for Dogs,Yvette Nicole Brown,Thor Freudenthal Kevin Dillon Comedy Family Don Cheadle Yvette Nicole Brown
539,Martin Campbell,Scott Glenn,Action Adventure Drama Thriller,Nicholas Lea,Vertical Limit,Ben Mendelsohn,Martin Campbell Scott Glenn Action Adventure Drama Thriller Nicholas Lea Ben Mendelsohn
540,Mike Nichols,Tom Hanks,Biography Comedy Drama History,Philip Seymour Hoffman,Charlie Wilson's War,Jud Tylor,Mike Nichols Tom Hanks Biography Comedy Drama History Philip Seymour Hoffman Jud Tylor
541,Bibo Bergeron,Martin Scorsese,Adventure Animation Comedy Family,Robert De Niro,Shark Tale,Angelina Jolie Pitt,Bibo Bergeron Martin Scorsese Adventure Animation Comedy Family Robert De Niro Angelina Jolie Pitt
542,Bill Condon,Jennifer Hudson,Drama Music Musical,Loretta Devine,Dreamgirls,Anika Noni Rose,Bill Condon Jennifer Hudson Drama Music Musical Loretta Devine Anika Noni Rose
544,F. Gary Gray,Christina Milian,Comedy Crime Music,Dwayne Johnson,Be Cool,Debi Mazar,F. Gary Gray Christina Milian Comedy Crime Music Dwayne Johnson Debi Mazar
545,Steven Spielberg,Moritz Bleibtreu,Drama History Thriller,Ayelet Zurer,Munich,Mathieu Amalric,Steven Spielberg Moritz Bleibtreu Drama History Thriller Ayelet Zurer Mathieu Amalric
546,Antoine Fuqua,Tom Skerritt,Action Drama Thriller War,Bruce Willis,Tears of the Sun,Cole Hauser,Antoine Fuqua Tom Skerritt Action Drama Thriller War Bruce Willis Cole Hauser
547,Robert Luketic,Lisa Ann Walter,Action Comedy Romance Thriller,Tom Selleck,Killers,Catherine O'Hara,Robert Luketic Lisa Ann Walter Action Comedy Romance Thriller Tom Selleck Catherine O'Hara
548,Guy Ritchie,Elizabeth Debicki,Action Adventure Comedy,Henry Cavill,The Man from U.N.C.L.E.,Christian Berkel,Guy Ritchie Elizabeth Debicki Action Adventure Comedy Henry Cavill Christian Berkel
549,James L. Brooks,Paz Vega,Comedy Drama Romance,Adam Sandler,Spanglish,Sarah Steele,James L. Brooks Paz Vega Comedy Drama Romance Adam Sandler Sarah Steele
550,Gil Kenan,Jon Heder,Animation Comedy Family Fantasy Mystery,Steve Buscemi,Monster House,Catherine O'Hara,Gil Kenan Jon Heder Animation Comedy Family Fantasy Mystery Steve Buscemi Catherine O'Hara
551,Barry Levinson,Brían F. O'Byrne,Comedy Crime Drama Romance,Bruce Willis,Bandits,Azura Skye,Barry Levinson Brían F. O'Byrne Comedy Crime Drama Romance Bruce Willis Azura Skye
552,Jerry Zucker,Ben Cross,Action Adventure Romance Thriller,Julia Ormond,First Knight,John Gielgud,Jerry Zucker Ben Cross Action Adventure Romance Thriller Julia Ormond John Gielgud
553,Andy Tennant,Geoffrey Palmer,Drama History Romance,Bai Ling,Anna and the King,Randall Duk Kim,Andy Tennant Geoffrey Palmer Drama History Romance Bai Ling Randall Duk Kim
554,Tarsem Singh,Daniel Sharman,Action Drama Fantasy Romance,Henry Cavill,Immortals,Steve Byers,Tarsem Singh Daniel Sharman Action Drama Fantasy Romance Henry Cavill Steve Byers
555,Florent-Emilio Siri,Bruce Willis,Action Crime Drama Mystery Thriller,Jimmy Bennett,Hostage,Ransford Doherty,Florent-Emilio Siri Bruce Willis Action Crime Drama Mystery Thriller Jimmy Bennett Ransford Doherty
556,Don Bluth,Janeane Garofalo,Action Adventure Animation Family Sci-Fi,Matt Damon,Titan A.E.,Nathan Lane,Don Bluth Janeane Garofalo Action Adventure Animation Family Sci-Fi Matt Damon Nathan Lane
557,Ron Shelton,Bruce Greenwood,Action Comedy Crime Thriller,Harrison Ford,Hollywood Homicide,Lena Olin,Ron Shelton Bruce Greenwood Action Comedy Crime Thriller Harrison Ford Lena Olin
558,Paul W.S. Anderson,Sean Pertwee,Action Drama Sci-Fi,Connie Nielsen,Soldier,Jason Scott Lee,Paul W.S. Anderson Sean Pertwee Action Drama Sci-Fi Connie Nielsen Jason Scott Lee
559,David Pastor,Kiernan Shipka,Drama Horror Sci-Fi Thriller,Christopher Meloni,Carriers,Lou Taylor Pucci,David Pastor Kiernan Shipka Drama Horror Sci-Fi Thriller Christopher Meloni Lou Taylor Pucci
560,Henry Selick,Bridget Fonda,Animation Comedy Fantasy,Brendan Fraser,Monkeybone,Megan Mullally,Henry Selick Bridget Fonda Animation Comedy Fantasy Brendan Fraser Megan Mullally
561,John Moore,Tony Curran,Action Adventure Drama Thriller,Dennis Quaid,Flight of the Phoenix,Miranda Otto,John Moore Tony Curran Action Adventure Drama Thriller Dennis Quaid Miranda Otto
